#OTU ID	SbDust1S14Nimrod50	SbDust2S31Nimrod67	SbSlp1SNW49Nimrod85	SbSlp2SNW50Nimrod86	SbSlp3SNW51Nimrod87	SbSlp4SNW52Nimrod88	SbSlp5SNW53Nimrod89	SbSlp6SNW54Nimrod90	SbSoil1SA10Osnat73	SbSoil2SA11Osnat74	SbSoil3SA12Osnat75	SbWad1SNW55Nimrod91	SbWad2SNW56Nimrod92	SbWad3SNW57Nimrod93	SbWad4SNW58Nimrod94	SbWad5SNW59Nimrod95	SbWad6SNW60Nimrod96	UvDust1S32Nimrod68	UvDust2S33Nimrod69	UvSlp1CS17Nimrod53	UvSlp1DS16Nimrod52	UvSlp1GS70Osnat26	UvSlp2CS21Nimrod57	UvSlp2DS20Nimrod56	UvSlp2GS71Osnat27	UvSlp3CS25Nimrod61	UvSlp3DS24Nimrod60	UvSlp3GS72Osnat28	UvSlp4GS73Osnat29	UvSlp5GS74Osnat30	UvSlp6GS75Osnat31	UvWaD1CS19Nimrod55	UvWad1DS18Nimrod54	UvWad1GS76Osnat32	UvWad2CS23Nimrod59	UvWad2DS22Nimrod58	UvWad2GS77Osnat33	UvWad3CS27Nimrod63	UvWad3DS26Nimrod62	UvWad3GS78Osnat34	UvWad4GS79Osnat35	UvWad5GS80Osnat36	UvWad6GS81Osnat37
OTU751	0	0	1	0	3	7	0	1	84	135	186	3	1	0	0	0	1	1	0	0	0	15	0	0	8	0	0	1	2	237	2	0	0	1	7	4	8	2	0	2	3	1	1
OTU411	0	0	1	1	1	8	1	2	28	22	27	1	1	0	0	0	0	0	0	1	0	1	0	0	2	2	0	0	1	1	3	1	0	4	2	4	1	0	0	2	1	1	0
OTU1158	0	0	4	1	21	33	8	16	33	39	28	26	10	85	0	71	44	0	0	0	0	0	0	0	0	0	0	0	0	12	3	0	0	1	2	3	1	2	2	0	1	0	0
OTU858	0	0	1	0	0	1	0	0	1	3	2	0	1	0	0	0	0	0	0	0	0	6	0	0	1	0	0	3	2	1	0	0	0	0	0	0	5	0	0	0	4	1	0
OTU653	0	0	1	0	4	3	3	1	109	79	116	7	2	2	0	2	0	0	0	0	2	15	0	0	2	0	0	2	1	4	0	2	0	7	15	23	4	1	1	1	0	0	0
OTU67	0	0	1	6	7	3	116	10	638	394	600	8	4	6	1	10	3	0	0	8	3	17	1	0	12	0	1	5	275	11	12	3	0	31	68	19	67	36	4	20	21	2	11
OTU221	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	10	0	1	14	0	0	0	0	0	13	0	107	83	5	8	34	0	0	32	0	0
OTU1024	0	0	1	3	2	4	13	3	105	118	72	0	0	0	0	0	0	0	0	0	0	10	0	0	2	0	0	10	2	4	1	0	0	5	0	0	7	0	0	4	3	0	3
OTU1168	0	0	1	0	0	3	0	2	15	12	4	3	0	2	1	0	0	1	2	0	0	9	1	0	0	2	2	8	2	2	0	3	0	29	1	0	1	3	0	0	3	0	2
OTU487	0	0	3	0	2	12	2	2	16	18	7	3	2	11	0	2	0	0	1	1	0	12	0	0	8	0	0	5	6	5	2	0	0	8	0	1	14	0	0	1	9	3	3
